row,Comp Lin $D$,Comp Lin $I$,Comp NL $D$,Comp NL $I$,Reg $\alpha_{D}$,Reg $\alpha_{I}$,Reg $\beta_{DD}$,Reg $\beta_{DI}$,Reg $\beta_{ID}$,Reg $\beta_{II}$,Probe $\alpha_{D}$,Probe $\alpha_{I}$,Probe $\beta_{DD}$,Probe $\beta_{DI}$,Probe $\beta_{ID}$,Probe $\beta_{II}$
Comp Lin $D$,1.0,0.43900256524002423,-0.3071543210584707,0.2898047586248486,0.9725258877074586,0.5661760143065212,0.6470476606995079,0.6195965698741823,0.7253647096605333,-0.6687167888511613,0.951060213907525,0.47501139514029084,-0.5053710827190434,-0.5703398351744402,0.13664395923528228,0.2094359252153203
Comp Lin $I$,0.43900256524002423,1.0,0.13372001809901124,0.6728701616884237,0.38035106958884063,0.950484126410209,0.9114725893232986,-0.27011738026048715,0.7244887554181488,-0.14172128978440465,0.2572286417978565,0.9675402756123005,0.2703158700806561,-0.08823054783203044,-0.6153534939681888,0.8833139402384464
Comp NL $D$,-0.3071543210584707,0.13372001809901124,1.0,0.5011222518634848,-0.3236789423478851,-0.05394072468824945,0.045990397514306135,-0.462277857244867,-0.2573243284414542,0.6330571810954367,-0.3847324640304704,0.01141375660493596,0.6542134020223763,0.6541972682153173,-0.47491359782681536,0.34079424735654595
Comp NL $I$,0.2898047586248486,0.6728701616884237,0.5011222518634848,1.0,0.29759621296579414,0.5689875665314591,0.6995345076317381,-0.1578092108474189,0.21558858591664573,0.19765888472388815,0.19328562431019625,0.5743636975783019,0.23949849802221698,0.16744154884717125,-0.474502088600531,0.770552114019958
Reg $\alpha_{D}$,0.9725258877074586,0.38035106958884063,-0.3236789423478851,0.29759621296579414,1.0,0.5251777811354482,0.624510512580058,0.7215781317197398,0.6197304236097356,-0.7043376038534018,0.9881937268883275,0.41954509392621014,-0.6146410387638646,-0.6269568708133106,0.22758314735056767,0.17644892111700003
Reg $\alpha_{I}$,0.5661760143065212,0.950484126410209,-0.05394072468824945,0.5689875665314591,0.5251777811354482,1.0,0.9386433011726155,-0.09792714509385841,0.823959432282935,-0.3875344070430982,0.418497887496699,0.9902444248592335,0.06436394114423678,-0.2876025005648436,-0.465745268347863,0.8161714271965845
Reg $\beta_{DD}$,0.6470476606995079,0.9114725893232986,0.045990397514306135,0.6995345076317381,0.624510512580058,0.9386433011726155,1.0,-0.014110310968124654,0.7367219994678658,-0.29733806449798167,0.5144034607026935,0.9161425815698898,0.026917637773224864,-0.20991453331781704,-0.4285253366287542,0.8103320398421513
Reg $\beta_{DI}$,0.6195965698741823,-0.27011738026048715,-0.462277857244867,-0.1578092108474189,0.7215781317197398,-0.09792714509385841,-0.014110310968124654,1.0,0.05623711021668226,-0.6968130812562543,0.8118679589900928,-0.22651951388931746,-0.9044671675534807,-0.684532896138244,0.71744027142131,-0.4341181452790886
Reg $\beta_{ID}$,0.7253647096605333,0.7244887554181488,-0.2573243284414542,0.21558858591664573,0.6197304236097356,0.823959432282935,0.7367219994678658,0.05623711021668226,1.0,-0.572305853937269,0.5535871310414988,0.8042498678354743,-0.07910229501234049,-0.4174462136649186,-0.26208073040150887,0.4702683681037931
Reg $\beta_{II}$,-0.6687167888511613,-0.14172128978440465,0.6330571810954367,0.19765888472388815,-0.7043376038534018,-0.3875344070430982,-0.29733806449798167,-0.6968130812562543,-0.572305853937269,1.0,-0.7523496693933838,-0.2834560960625924,0.7535541009994475,0.8254074857310453,-0.4460854353792292,0.130600210664883
Probe $\alpha_{D}$,0.951060213907525,0.2572286417978565,-0.3847324640304704,0.19328562431019625,0.9881937268883275,0.418497887496699,0.5144034607026935,0.8118679589900928,0.5535871310414988,-0.7523496693933838,1.0,0.30293499026682763,-0.7102459066987797,-0.6809084304924286,0.3464247973748328,0.03949846275569302
Probe $\alpha_{I}$,0.47501139514029084,0.9675402756123005,0.01141375660493596,0.5743636975783019,0.41954509392621014,0.9902444248592335,0.9161425815698898,-0.22651951388931746,0.8042498678354743,-0.2834560960625924,0.30293499026682763,1.0,0.18688173487091903,-0.19573432258210655,-0.5612381371830276,0.8561487247956325
Probe $\beta_{DD}$,-0.5053710827190434,0.2703158700806561,0.6542134020223763,0.23949849802221698,-0.6146410387638646,0.06436394114423678,0.026917637773224864,-0.9044671675534807,-0.07910229501234049,0.7535541009994475,-0.7102459066987797,0.18688173487091903,1.0,0.7941405974258264,-0.7763407291659621,0.46426941200698113
Probe $\beta_{DI}$,-0.5703398351744402,-0.08823054783203044,0.6541972682153173,0.16744154884717125,-0.6269568708133106,-0.2876025005648436,-0.20991453331781704,-0.684532896138244,-0.4174462136649186,0.8254074857310453,-0.6809084304924286,-0.19573432258210655,0.7941405974258264,1.0,-0.35791559553554786,0.1875733738118724
Probe $\beta_{ID}$,0.13664395923528228,-0.6153534939681888,-0.47491359782681536,-0.474502088600531,0.22758314735056767,-0.465745268347863,-0.4285253366287542,0.71744027142131,-0.26208073040150887,-0.4460854353792292,0.3464247973748328,-0.5612381371830276,-0.7763407291659621,-0.35791559553554786,1.0,-0.7223438113279708
Probe $\beta_{II}$,0.2094359252153203,0.8833139402384464,0.34079424735654595,0.770552114019958,0.17644892111700003,0.8161714271965845,0.8103320398421513,-0.4341181452790886,0.4702683681037931,0.130600210664883,0.03949846275569302,0.8561487247956325,0.46426941200698113,0.1875733738118724,-0.7223438113279708,1.0
