row,Reg $\beta_{DD}$,Reg $\beta_{DI}$,Reg $\beta_{DQ}$,Reg $\beta_{ID}$,Reg $\beta_{II}$,Reg $\beta_{IQ}$,Reg $\beta_{QD}$,Reg $\beta_{QI}$,Reg $\beta_{QQ}$,Probe $\beta_{DD}$,Probe $\beta_{DI}$,Probe $\beta_{DQ}$,Probe $\beta_{ID}$,Probe $\beta_{II}$,Probe $\beta_{IQ}$,Probe $\beta_{QD}$,Probe $\beta_{QI}$,Probe $\beta_{QQ}$,Comp NL $D$,Comp NL $I$,Comp NL $Q$
Reg $\beta_{DD}$,1.0,-0.014110310968124654,-0.07051768617122842,0.7367219994678658,-0.29733806449798167,-0.6910948949783668,0.7330277366672924,-0.8524879896239053,-0.8209716027317259,0.026917637773224864,-0.20991453331781704,-0.6632017316687795,-0.4285253366287542,0.8103320398421513,0.3407176281776938,-0.5115365786815209,-0.18229076818744736,0.3083619498988839,0.045990397514306135,0.6995345076317381,0.15666936023391928
Reg $\beta_{DI}$,-0.014110310968124654,1.0,0.8150094870127237,0.05623711021668226,-0.6968130812562543,0.13125971767216782,0.22392946720895013,0.2567397651898006,-0.3477199584374913,-0.9044671675534807,-0.684532896138244,-0.4715964646048579,0.71744027142131,-0.4341181452790886,0.24318988593080576,-0.5719002391388369,0.3208672487847202,-0.7927740206838181,-0.462277857244867,-0.1578092108474189,-0.39168028583503495
Reg $\beta_{DQ}$,-0.07051768617122842,0.8150094870127237,1.0,-0.31391890676791306,-0.34211152421493224,0.33441029123124294,0.017991260951365513,0.3361345301611809,-0.22536202535828323,-0.7205561916473712,-0.4430790234364938,-0.22127138816412323,0.55797447241423,-0.2687956306064664,0.27120944234907574,-0.4348820822637095,0.33173808802749855,-0.6735024529289814,-0.18269843483036063,0.08207455689265565,-0.16846441473546397
Reg $\beta_{ID}$,0.7367219994678658,0.05623711021668226,-0.31391890676791306,1.0,-0.572305853937269,-0.8655545778890393,0.619020189741465,-0.7758074179659944,-0.6101162593402019,-0.07910229501234049,-0.4174462136649186,-0.6573643304793931,-0.26208073040150887,0.4702683681037931,0.08128640574682838,-0.40089630946304644,-0.33165450043812905,0.20805641645095116,-0.2573243284414542,0.21558858591664573,-0.09489052663005454
Reg $\beta_{II}$,-0.29733806449798167,-0.6968130812562543,-0.34211152421493224,-0.572305853937269,1.0,0.5352890839528376,-0.6592896208646044,0.3334541099076646,0.5133896937593676,0.7535541009994475,0.8254074857310453,0.6880900107174551,-0.4460854353792292,0.130600210664883,-0.4053238092068445,0.683945953266555,-0.23126639168332516,0.4711125997464939,0.6330571810954367,0.19765888472388815,0.4347228552342351
Reg $\beta_{IQ}$,-0.6910948949783668,0.13125971767216782,0.33441029123124294,-0.8655545778890393,0.5352890839528376,1.0,-0.6288919474161697,0.8883821348561386,0.5066171214154674,-0.028381025806532772,0.39306223968814624,0.5093859057565572,0.37728620627776277,-0.5812004947523102,-0.20761608345372656,0.33343603240210584,0.2772714380540321,-0.35560433128312186,0.2305148272684665,-0.20524705908942556,0.010798458736016169
Reg $\beta_{QD}$,0.7330277366672924,0.22392946720895013,0.017991260951365513,0.619020189741465,-0.6592896208646044,-0.6288919474161697,1.0,-0.7240590268570283,-0.7425855192991179,-0.3281294243193788,-0.4369027653817549,-0.7462288660253297,0.0014558759870433708,0.42229038896154414,0.6301229132917556,-0.7080188559921301,0.25595042001072354,-0.03364403803427456,-0.2982095211913516,0.2986174245652335,-0.1520060837715555
Reg $\beta_{QI}$,-0.8524879896239053,0.2567397651898006,0.3361345301611809,-0.7758074179659944,0.3334541099076646,0.8883821348561386,-0.7240590268570283,1.0,0.6458034305957053,-0.1545608080220944,0.23250076264577765,0.5270119838806254,0.5249703089931417,-0.7923924952705503,-0.29834094599157435,0.3476731263902042,0.243599564513664,-0.47633573112774624,0.05744650483446037,-0.4894025466553952,-0.15085788270177464
Reg $\beta_{QQ}$,-0.8209716027317259,-0.3477199584374913,-0.22536202535828323,-0.6101162593402019,0.5133896937593676,0.5066171214154674,-0.7425855192991179,0.6458034305957053,1.0,0.25733205364869705,0.3693921895712164,0.6641304432884375,0.08514256143759974,-0.5336173736457771,-0.41098329516760995,0.5416018785672464,-0.004517306697029692,-0.01664881621732281,0.11619204207310924,-0.5309142987863508,-0.06929063476872634
Probe $\beta_{DD}$,0.026917637773224864,-0.9044671675534807,-0.7205561916473712,-0.07910229501234049,0.7535541009994475,-0.028381025806532772,-0.3281294243193788,-0.1545608080220944,0.25733205364869705,1.0,0.7941405974258264,0.4960497682298872,-0.7763407291659621,0.46426941200698113,-0.4102949063395041,0.7116068922335524,-0.47212856829414984,0.8545258031854309,0.6542134020223763,0.23949849802221698,0.4935847552890235
Probe $\beta_{DI}$,-0.20991453331781704,-0.684532896138244,-0.4430790234364938,-0.4174462136649186,0.8254074857310453,0.39306223968814624,-0.4369027653817549,0.23250076264577765,0.3693921895712164,0.7941405974258264,1.0,0.5532214706339492,-0.35791559553554786,0.1875733738118724,-0.22055493265272585,0.6110248257597032,-0.0981646731635218,0.534567529801539,0.6541972682153173,0.16744154884717125,0.39212797024016693
Probe $\beta_{DQ}$,-0.6632017316687795,-0.4715964646048579,-0.22127138816412323,-0.6573643304793931,0.6880900107174551,0.5093859057565572,-0.7462288660253297,0.5270119838806254,0.6641304432884375,0.4960497682298872,0.5532214706339492,1.0,-0.06794344088058184,-0.2921215180343724,-0.3394810566815841,0.8072970258990542,-0.012515182414328519,0.24362770229135253,0.3336192986698562,-0.3073191658164608,0.31070018177654174
Probe $\beta_{ID}$,-0.4285253366287542,0.71744027142131,0.55797447241423,-0.26208073040150887,-0.4460854353792292,0.37728620627776277,0.0014558759870433708,0.5249703089931417,0.08514256143759974,-0.7763407291659621,-0.35791559553554786,-0.06794344088058184,1.0,-0.7223438113279708,0.352727302264956,-0.35721837144499446,0.6472905392957509,-0.7896469180748216,-0.47491359782681536,-0.474502088600531,-0.42107312155244536
Probe $\beta_{II}$,0.8103320398421513,-0.4341181452790886,-0.2687956306064664,0.4702683681037931,0.130600210664883,-0.5812004947523102,0.42229038896154414,-0.7923924952705503,-0.5336173736457771,0.46426941200698113,0.1875733738118724,-0.2921215180343724,-0.7223438113279708,1.0,0.15791219995075015,-0.10913287853461547,-0.3983362304606576,0.6840399906962826,0.34079424735654595,0.770552114019958,0.37644227833305083
Probe $\beta_{IQ}$,0.3407176281776938,0.24318988593080576,0.27120944234907574,0.08128640574682838,-0.4053238092068445,-0.20761608345372656,0.6301229132917556,-0.29834094599157435,-0.41098329516760995,-0.4102949063395041,-0.22055493265272585,-0.3394810566815841,0.352727302264956,0.15791219995075015,1.0,-0.6594199028698843,0.7625482063853013,-0.25169214754610936,-0.21965728204364202,0.18349094575739228,-0.14461800627397192
Probe $\beta_{QD}$,-0.5115365786815209,-0.5719002391388369,-0.4348820822637095,-0.40089630946304644,0.683945953266555,0.33343603240210584,-0.7080188559921301,0.3476731263902042,0.5416018785672464,0.7116068922335524,0.6110248257597032,0.8072970258990542,-0.35721837144499446,-0.10913287853461547,-0.6594199028698843,1.0,-0.4330681973062097,0.5100947322783165,0.4210073009214465,-0.22965728831414242,0.3982385207932709
Probe $\beta_{QI}$,-0.18229076818744736,0.3208672487847202,0.33173808802749855,-0.33165450043812905,-0.23126639168332516,0.2772714380540321,0.25595042001072354,0.243599564513664,-0.004517306697029692,-0.47212856829414984,-0.0981646731635218,-0.012515182414328519,0.6472905392957509,-0.3983362304606576,0.7625482063853013,-0.4330681973062097,1.0,-0.5337361081598567,-0.23223023324563158,-0.1957845874560628,-0.2483287752756988
Probe $\beta_{QQ}$,0.3083619498988839,-0.7927740206838181,-0.6735024529289814,0.20805641645095116,0.4711125997464939,-0.35560433128312186,-0.03364403803427456,-0.47633573112774624,-0.01664881621732281,0.8545258031854309,0.534567529801539,0.24362770229135253,-0.7896469180748216,0.6840399906962826,-0.25169214754610936,0.5100947322783165,-0.5337361081598567,1.0,0.4781270545884452,0.34541608726408174,0.46977280554356876
Comp NL $D$,0.045990397514306135,-0.462277857244867,-0.18269843483036063,-0.2573243284414542,0.6330571810954367,0.2305148272684665,-0.2982095211913516,0.05744650483446037,0.11619204207310924,0.6542134020223763,0.6541972682153173,0.3336192986698562,-0.47491359782681536,0.34079424735654595,-0.21965728204364202,0.4210073009214465,-0.23223023324563158,0.4781270545884452,1.0,0.5011222518634848,0.5717307694459889
Comp NL $I$,0.6995345076317381,-0.1578092108474189,0.08207455689265565,0.21558858591664573,0.19765888472388815,-0.20524705908942556,0.2986174245652335,-0.4894025466553952,-0.5309142987863508,0.23949849802221698,0.16744154884717125,-0.3073191658164608,-0.474502088600531,0.770552114019958,0.18349094575739228,-0.22965728831414242,-0.1957845874560628,0.34541608726408174,0.5011222518634848,1.0,0.4076640600749237
Comp NL $Q$,0.15666936023391928,-0.39168028583503495,-0.16846441473546397,-0.09489052663005454,0.4347228552342351,0.010798458736016169,-0.1520060837715555,-0.15085788270177464,-0.06929063476872634,0.4935847552890235,0.39212797024016693,0.31070018177654174,-0.42107312155244536,0.37644227833305083,-0.14461800627397192,0.3982385207932709,-0.2483287752756988,0.46977280554356876,0.5717307694459889,0.4076640600749237,1.0
